,Price,Open,High,Low,Vol.,Change %
2020-09-15,1958.0,1957.6,1973.8,1947.7,18.1,0.0017000000000000001
2020-09-16,1962.0,1954.3,1975.4,1949.1,11.67,0.002
2020-09-17,1941.3,1959.6,1960.5,1930.2,12.1,-0.0106
2020-09-18,1953.2,1944.0,1959.1,1942.9,6.45,0.0060999999999999995
2020-09-19,1953.2,1944.0,1959.1,1942.9,6.45,0.0060999999999999995
2020-09-20,1953.2,1944.0,1959.1,1942.9,6.45,0.0060999999999999995
2020-09-21,1902.1,1948.3,1954.1,1878.5,18.21,-0.0262
2020-09-22,1899.3,1909.1,1916.8,1890.7,11.15,-0.0015
2020-09-23,1860.5,1895.0,1901.6,1848.0,18.93,-0.0204
2020-09-24,1868.9,1859.4,1872.8,1843.0,19.91,0.0045000000000000005
2020-09-25,1857.8,1866.2,1870.6,1846.0,10.59,-0.0059
2020-09-26,1857.8,1866.2,1870.6,1846.0,10.59,-0.0059
2020-09-27,1857.8,1866.2,1870.6,1846.0,10.59,-0.0059
2020-09-28,1872.8,1855.6,1878.4,1843.2,10.46,0.008100000000000001
2020-09-29,1898.7,1881.2,1899.9,1877.6,0.53,0.0138
2020-09-30,1891.3,1898.9,1903.6,1882.1,0.55,-0.0039000000000000003
2020-10-01,1912.3,1888.0,1913.9,1886.0,0.75,0.0111
2020-10-02,1903.8,1907.0,1919.0,1893.0,0.81,-0.0044
2020-10-03,1903.8,1907.0,1919.0,1893.0,0.81,-0.0044
2020-10-04,1903.8,1907.0,1919.0,1893.0,0.81,-0.0044
2020-10-05,1916.1,1906.7,1920.0,1887.7,0.66,0.006500000000000001
2020-10-06,1904.8,1913.7,1922.0,1875.1,1.05,-0.0059
2020-10-07,1886.8,1879.9,1897.4,1873.2,0.44,-0.009399999999999999
2020-10-08,1891.0,1886.8,1900.4,1881.7,0.7,0.0022
2020-10-09,1921.9,1894.8,1932.0,1894.8,0.97,0.0163
2020-10-10,1921.9,1894.8,1932.0,1894.8,0.97,0.0163
2020-10-11,1921.9,1894.8,1932.0,1894.8,0.97,0.0163
2020-10-12,1924.3,1930.9,1933.3,1920.0,0.44,0.0012
2020-10-13,1890.2,1923.7,1925.1,1885.9,0.8,-0.0177
2020-10-14,1903.1,1891.3,1912.8,1880.9,0.41,0.0068000000000000005
2020-10-15,1904.9,1902.0,1909.2,1889.0,0.49,0.0009
2020-10-16,1902.4,1908.4,1913.4,1897.8,0.27,-0.0013
2020-10-17,1902.4,1908.4,1913.4,1897.8,0.27,-0.0013
2020-10-18,1902.4,1908.4,1913.4,1897.8,0.27,-0.0013
2020-10-19,1907.7,1899.6,1919.0,1896.9,0.51,0.0028000000000000004
2020-10-20,1911.6,1902.2,1913.6,1893.6,0.37,0.002
